胜利广场	[123, 9, 10, 2, 0, 118, 6, 8, 2, 1, 139, 17, 8, 6, 0, 120, 16, 5, 3, 0, 117, 12, 11, 4, 0, 116, 14, 11, 2, 0, 120, 15, 8, 1, 0]	1024
世纪街	[118, 16, 6, 4, 0, 101, 20, 14, 0, 0, 142, 13, 13, 2, 0, 118, 19, 7, 0, 0, 114, 21, 8, 1, 0, 139, 3, 1, 0, 0, 143, 1, 0, 0, 0]	1024
解放路	[214, 56, 13, 0, 0, 206, 60, 4, 0, 0, 274, 58, 8, 0, 0, 228, 45, 11, 0, 0, 220, 58, 10, 0, 0, 232, 52, 2, 0, 0, 254, 34, 0, 0, 0]	2039
五五路	[123, 13, 6, 2, 0, 123, 7, 5, 0, 0, 154, 9, 6, 1, 0, 122, 16, 5, 1, 0, 119, 20, 5, 0, 0, 143, 0, 0, 0, 0, 139, 4, 1, 0, 0]	1024
育才街	[281, 1, 2, 0, 0, 269, 1, 0, 0, 0, 338, 2, 0, 0, 0, 283, 0, 0, 1, 0, 285, 2, 0, 1, 0, 285, 1, 0, 0, 0, 281, 5, 2, 0, 0]	2040
鲁迅路	[77, 51, 16, 0, 0, 77, 38, 19, 1, 0, 104, 49, 17, 0, 0, 88, 46, 10, 0, 0, 80, 46, 16, 2, 0, 89, 44, 10, 0, 0, 102, 40, 2, 0, 0]	1024
民生街	[160, 78, 35, 8, 0, 131, 73, 60, 6, 0, 192, 97, 41, 10, 0, 161, 83, 33, 7, 0, 130, 101, 47, 10, 0, 201, 68, 17, 0, 0, 232, 47, 9, 0, 0]	2037
新生街	[142, 0, 1, 0, 0, 134, 1, 0, 0, 0, 167, 0, 3, 0, 0, 143, 0, 1, 0, 0, 142, 0, 2, 0, 0, 143, 0, 0, 0, 0, 143, 0, 1, 0, 0]	1023
葵英街	[137, 0, 4, 2, 0, 135, 0, 0, 0, 0, 170, 0, 0, 0, 0, 144, 0, 0, 0, 0, 143, 0, 1, 0, 0, 143, 0, 0, 0, 0, 144, 0, 0, 0, 0]	1023
葵丰路	[137, 4, 2, 0, 0, 133, 0, 2, 0, 0, 170, 0, 0, 0, 0, 143, 0, 1, 0, 0, 143, 0, 1, 0, 0, 143, 0, 0, 0, 0, 144, 0, 0, 0, 0]	1023
港湾街	[262, 14, 7, 0, 0, 255, 14, 1, 0, 0, 319, 18, 3, 0, 0, 263, 21, 0, 0, 0, 260, 23, 4, 1, 0, 276, 10, 0, 0, 0, 284, 4, 0, 0, 0]	2039
大众街	[120, 9, 14, 0, 0, 111, 12, 9, 3, 0, 143, 11, 15, 1, 0, 120, 14, 9, 1, 0, 112, 17, 13, 2, 0, 122, 7, 11, 3, 0, 126, 7, 9, 2, 0]	1023
春华街	[136, 5, 1, 1, 0, 134, 1, 0, 0, 0, 168, 1, 1, 0, 0, 143, 0, 1, 0, 0, 143, 0, 1, 0, 0, 139, 2, 2, 0, 0, 139, 3, 2, 0, 0]	1023
山峦街	[143, 0, 0, 0, 0, 135, 0, 0, 0, 0, 170, 0, 0, 0, 0, 143, 0, 0, 1, 0, 142, 0, 1, 1, 0, 143, 0, 0, 0, 0, 144, 0, 0, 0, 0]	1023
中南路	[135, 5, 2, 1, 0, 132, 3, 0, 0, 0, 168, 2, 0, 0, 0, 140, 4, 0, 0, 0, 135, 7, 2, 0, 0, 143, 0, 0, 0, 0, 142, 2, 0, 0, 0]	1023
华乐街	[142, 1, 0, 0, 0, 135, 0, 0, 0, 0, 170, 0, 0, 0, 0, 144, 0, 0, 0, 0, 141, 3, 0, 0, 0, 142, 0, 1, 0, 0, 144, 0, 0, 0, 0]	1023
